Horizon_Step,Time_Ahead_Min,Classical_GRU_Bias,Classical_GRU_Std,Hybrid_QML_Bias,Hybrid_QML_Std,Difference_QML_minus_GRU
1,5,0.2840531501703576,0.004332013562204868,0.20916538583461466,0.005719268407925987,-0.07488776433574293
2,10,-0.2360002463122554,0.008074015959751437,0.6535049649779424,0.014906049489080392,0.8895052112901978
3,15,-0.6061761804727496,0.0163696038018429,0.9324383756845457,0.025654574446652204,1.5386145561572953
4,20,-1.0941109895818868,0.022607803531844824,0.3617902760502819,0.02598331391913471,1.4559012656321686
5,25,-1.426920811659461,0.020615325335632904,-0.33490012235687827,0.024193877722433275,1.0920206893025828
6,30,-1.711667247699868,0.02965227794038077,-0.8481639384105251,0.02151162677198153,0.8635033092893429
7,35,-1.8002034539434113,0.02837315228793359,-1.4286296494757573,0.01720002241744364,0.371573804467654
8,40,-1.882835166424505,0.0166338582078506,-2.0824730172959236,0.009809081913973476,-0.1996378508714185
9,45,-1.7942147352782993,0.008968741274816859,-2.563838861926566,0.00483485825712992,-0.7696241266482668
10,50,-1.6246566043411008,0.0053016975935814585,-2.6065238590590445,0.007114678758886659,-0.9818672547179437
11,55,-1.3330047248529069,0.029644578994208033,-2.3829844897987114,0.009760852799573503,-1.0499797649458045
12,60,-1.2978797113484934,0.042278558604664264,-1.8026354308129737,0.008686189539669202,-0.5047557194644803
13,65,-1.2865843840933198,0.04027617623981294,-1.0334526388975185,0.004521585494693701,0.2531317451958013
14,70,-1.053803179541274,0.039235232435319144,-0.48184098667070313,0.008440742874884331,0.5719621928705707
15,75,-0.7404811513814276,0.031708590527152504,-0.15406756997154208,0.013673169404125897,0.5864135814098854
16,80,-0.6291748246147018,0.018321142348796567,-0.11419907114721384,0.017290107587903218,0.5149757534674879
17,85,-0.6771890399310324,0.007553449107175259,-0.14244403708565007,0.018101378281896775,0.5347450028453824
18,90,-0.7676684415823862,0.010550231703243205,-0.2872879378838475,0.017485075502149856,0.48038050369853874
19,95,-0.9710116113832191,0.016729670592819462,-0.39352065666871056,0.018082356797828446,0.5774909547145086
20,100,-1.3450534311642086,0.024465981762547582,-0.5968566162106087,0.016105496737378936,0.7481968149535999
21,105,-1.5552061607340923,0.032359716362875185,-1.1587897486909777,0.01115652435787749,0.3964164120431146
22,110,-1.5201792445038822,0.030363857082133457,-1.691194490264003,0.004918299140343553,-0.17101524576012084
23,115,-1.4374049101351825,0.01598901425844841,-2.0317637315021457,0.00243181181583367,-0.5943588213669633
24,120,-1.3471984850624625,0.011498721538146756,-2.055781558292755,0.004530889105702836,-0.7085830732302927
