Seed,Controller,Energy (kWh),Carbon (kg CO2),% Recommended (18-27C),% Allowable (15-32C),Max Temp (C),Min Temp (C),Avg Latency (ms),Prediction MAE (C),Prediction RMSE (C)
102,Baseline thermostat,10082.782627186101,4018.9761823964686,100.0,100.0,23.52112943080477,20.48361452425754,0.0013651389963342808,,
102,MPC + Classical GRU,8370.040946009049,3350.147338907852,87.15277777777779,100.0,27.105651558521686,22.0,396.0641497213752,1.1876865487934936,1.3368713171469322
102,MPC + QML Hybrid,8404.90856413614,3367.3595619199737,99.93055555555556,100.0,27.097422587372623,22.0,338.5184772911695,1.1190638955264771,1.4033554864991273
103,Baseline thermostat,10236.835323778676,4076.8419540468535,100.0,100.0,23.420809229489347,20.52657457008002,0.001405763820609233,,
103,MPC + Classical GRU,8541.536940714628,3415.4108372879114,84.58333333333333,100.0,27.193642048854887,22.0,396.1567545834744,1.1857741995085411,1.3385275004621027
103,MPC + QML Hybrid,8576.629477793818,3432.26572189056,99.93055555555556,100.0,27.097422587372623,22.0,338.5428168052588,1.1173478536252386,1.401106125136168
101,Baseline thermostat,9653.778368283654,3844.3918850325235,100.0,100.0,23.51942634589501,20.5209951289899,0.0015915967701908408,,
101,MPC + Classical GRU,8016.891820718579,3205.2125480093564,88.54166666666666,100.0,27.10557511501911,22.0,396.7918068745954,1.1921066033921854,1.3453543636017946
101,MPC + QML Hybrid,8045.843114639526,3220.0223603206837,100.0,100.0,26.54638959789378,22.0,340.34094368099534,1.1216357742483078,1.4043502112227095
104,Baseline thermostat,10623.81576057951,4233.765119620426,100.0,100.0,23.517452227999698,20.52768439289686,0.003222291424107324,,
104,MPC + Classical GRU,8899.317857602153,3562.9766636155973,83.47222222222223,100.0,27.105663017885544,22.0,394.5701820836298,1.1858972859080203,1.3331085151441002
104,MPC + QML Hybrid,8933.336273371096,3579.388695198311,100.0,100.0,26.54638959789378,22.0,336.986443403354,1.114986819189707,1.40137036165754
105,Baseline thermostat,9679.993089471738,3854.7949635497166,100.0,100.0,23.49834897439088,20.513232021711993,0.002873124867619481,,
105,MPC + Classical GRU,8035.501824940369,3212.4809751765797,88.33333333333333,100.0,27.192510109980873,22.0,398.0190928470418,1.1913200377343196,1.3461707833673158
105,MPC + QML Hybrid,8062.662423788046,3226.4887484246296,100.0,100.0,26.55631129317312,22.0,338.226365138467,1.1212811093890767,1.4031870411082232
106,Baseline thermostat,10077.220021588564,4016.452141987449,100.0,100.0,23.524446111019504,20.513232021711993,0.0023152083991185967,,
106,MPC + Classical GRU,8381.628489218088,3355.0686843656977,87.15277777777779,100.0,27.10568733972795,22.0,397.165564166365,1.1896521129832454,1.3388805872778198
106,MPC + QML Hybrid,8412.520027057177,3370.5971436109353,100.0,100.0,26.63730162274297,22.0,337.51230930528334,1.1191327771782107,1.4039721444337676
107,Baseline thermostat,9053.418342670022,3607.7223631499664,100.0,100.0,23.441902615771404,20.513232021711993,0.0018562502696618643,,
107,MPC + Classical GRU,7423.643911505823,2968.6757255836583,93.40277777777779,100.0,27.101748455418054,22.0,408.66027937453407,1.1964734830960342,1.3508200776517834
107,MPC + QML Hybrid,7447.931786400753,2982.2037405250653,100.0,100.0,26.54638959789378,22.0,384.91426541691504,1.125985281659191,1.406787667498493
109,Baseline thermostat,10152.990065776281,4045.047744497662,100.0,100.0,23.517452227999698,20.47687498888482,0.002304028122226656,,
109,MPC + Classical GRU,8459.008292699906,3384.463028995204,86.11111111111111,100.0,27.105656283050074,22.0,406.9782908332652,1.188836146118697,1.3391926184168905
109,MPC + QML Hybrid,8489.848405294862,3399.8289425308717,100.0,100.0,26.54638959789378,22.0,381.5359643053954,1.1181984786062964,1.4026108589589814
108,Baseline thermostat,9123.600815306296,3633.6318755878146,100.0,100.0,23.415835890028983,20.513232021711993,0.004493611171104324,,
108,MPC + Classical GRU,7501.016907302457,2998.087696704243,92.36111111111111,100.0,27.101749082354363,22.0,409.4705731943476,1.1955991243200605,1.3511249035821873
108,MPC + QML Hybrid,7525.87108682907,3011.661777158956,100.0,100.0,26.54638959789378,22.0,383.5351715276273,1.1251293192602838,1.4058137501073038
110,Baseline thermostat,10058.977246716737,4008.434843137506,100.0,100.0,23.518117115800006,20.50140199170054,0.0019656250111034345,,
110,MPC + Classical GRU,8379.837864330775,3354.303085014745,86.94444444444444,100.0,27.10570626430474,22.0,266.6110899307063,1.1900592082223174,1.3390506940619702
110,MPC + QML Hybrid,8411.013025115513,3369.9587670833207,100.0,100.0,26.54638959789378,22.0,188.31332833380858,1.1194531146023086,1.4041286403749447
