Controller,Metric,Mean,Std,Min,Max
Baseline thermostat,Energy (kWh),9874.341166135759,495.91688656126286,9053.418342670022,10623.81576057951
Baseline thermostat,Carbon (kg CO2),3934.0059073006387,198.08403482988416,3607.7223631499664,4233.765119620426
Baseline thermostat,% Recommended (18-27C),100.0,0.0,100.0,100.0
Baseline thermostat,% Allowable (15-32C),100.0,0.0,100.0,100.0
Baseline thermostat,Max Temp (C),23.48949201691993,0.04470578996941212,23.415835890028983,23.524446111019504
Baseline thermostat,Min Temp (C),20.509007368365765,0.017021760931887907,20.47687498888482,20.52768439289686
Baseline thermostat,Avg Latency (ms),0.0023392638852076037,0.000969537895786841,0.0013651389963342808,0.004493611171104324
Baseline thermostat,Prediction MAE (C),,,,
Baseline thermostat,Prediction RMSE (C),,,,
MPC + Classical GRU,Energy (kWh),8200.842485504183,461.74909366476686,7423.643911505823,8899.317857602153
MPC + Classical GRU,Carbon (kg CO2),3280.682658366085,186.17375052417216,2968.6757255836583,3562.9766636155973
MPC + Classical GRU,% Recommended (18-27C),87.80555555555556,3.100676947194629,83.47222222222223,93.40277777777779
MPC + Classical GRU,% Allowable (15-32C),100.0,0.0,100.0,100.0
MPC + Classical GRU,Max Temp (C),27.122358927511726,0.03730630922111036,27.101748455418054,27.193642048854887
MPC + Classical GRU,Min Temp (C),22.0,0.0,22.0,22.0
MPC + Classical GRU,Avg Latency (ms),387.0487783609335,42.70134469205316,266.6110899307063,409.4705731943476
MPC + Classical GRU,Prediction MAE (C),1.1903404750076914,0.0036484093604926423,1.1857741995085411,1.1964734830960342
MPC + Classical GRU,Prediction RMSE (C),1.3419101360712897,0.006086001655642199,1.3331085151441002,1.3511249035821873
MPC + QML Hybrid,Energy (kWh),8231.0564184426,465.2788964243232,7447.931786400753,8933.336273371096
MPC + QML Hybrid,Carbon (kg CO2),3295.9775458663307,187.29225444927823,2982.2037405250653,3579.388695198311
MPC + QML Hybrid,% Recommended (18-27C),99.98611111111111,0.029280348705262107,99.93055555555556,100.0
MPC + QML Hybrid,% Allowable (15-32C),100.0,0.0,100.0,100.0
MPC + QML Hybrid,Max Temp (C),26.6666795678024,0.22875056252054912,26.54638959789378,27.097422587372623
MPC + QML Hybrid,Min Temp (C),22.0,0.0,22.0,22.0
MPC + QML Hybrid,Avg Latency (ms),336.8426085208274,56.342054871481004,188.31332833380858,384.91426541691504
MPC + QML Hybrid,Prediction MAE (C),1.1202214423285097,0.0033878694785206952,1.114986819189707,1.125985281659191
MPC + QML Hybrid,Prediction RMSE (C),1.403668228699726,0.0017762492298915513,1.401106125136168,1.406787667498493
