Seed,Controller,Mean_Tj_C,Max_Tj_C,Delta_Tj_Swing_C,Mean_Arrhenius_AF,Peak_Arrhenius_AF,Relative_MTBF,Equiv_Aging_Days_per_5Days
102,Baseline thermostat,54.8431006302221,61.72493168222335,13.726281070737308,1.1524667623287586,1.8418865144402996,0.8677039830453132,5.762333811643793
102,MPC + Classical GRU,59.50699691648721,65.3474781432871,12.397816537886868,1.6329725221211047,2.3878375013352597,0.6123801756940023,8.164862610605523
102,MPC + QML Hybrid,59.185121007675185,64.6054159409668,10.888147316983947,1.5854841183195338,2.2652026472794167,0.6307221803394079,7.927420591597669
104,Baseline thermostat,54.843398640754835,61.61935647159358,13.586534313472463,1.1524823350504732,1.8278499270753608,0.8676922583426885,5.762411675252366
104,MPC + Classical GRU,59.55700308868427,65.34748784647334,12.403245383199149,1.637454925958863,2.3878391439417963,0.6107038332150845,8.187274629794315
104,MPC + QML Hybrid,59.1928548097003,64.60527885020159,10.908370775751408,1.5862747269656956,2.2651805349841223,0.6304078246980895,7.9313736348284785
101,Baseline thermostat,55.27249441890528,67.56335125044552,19.506230607504293,1.204798390976624,2.7911684508982897,0.8300143887056389,6.02399195488312
101,MPC + Classical GRU,59.88404776541283,71.29179697621265,18.34755451293846,1.6999005308026085,3.61299302356966,0.5882697145390323,8.499502654013043
101,MPC + QML Hybrid,59.59468639665845,70.61948776573587,16.92257969128569,1.6518446978707604,3.450137938718845,0.6053837877670989,8.259223489353802
103,Baseline thermostat,55.26367626448066,67.50032867294428,19.501678061458236,1.2031577302096335,2.7788841077079307,0.8311462203927027,6.015788651048167
103,MPC + Classical GRU,59.941290209722744,71.38354550116202,18.429135549761362,1.7054381341586595,3.6357549207737248,0.5863595870003975,8.527190670793297
103,MPC + QML Hybrid,59.60691497693151,70.65727496497536,16.9345491318606,1.653173568388188,3.4591099125422358,0.6048971621140667,8.26586784194094
106,Baseline thermostat,54.853222098537714,61.68120448015368,13.625237530265856,1.153307750517973,1.8360608772854672,0.8670712561767495,5.766538752589865
106,MPC + Classical GRU,59.504285478351385,65.3474804917156,12.403238028441407,1.6326285026341767,2.387837898889526,0.6125092134472371,8.163142513170884
106,MPC + QML Hybrid,59.183610203512984,64.60528790977813,10.908379835327949,1.5852989794861092,2.265181996258296,0.6307958391067408,7.926494897430546
105,Baseline thermostat,55.27992319065695,67.68834897439088,19.635187784580054,1.205191501226674,2.815680280442594,0.8297436540020195,6.02595750613337
105,MPC + Classical GRU,59.886513661363,71.38357633494795,18.439333871673753,1.7003074691955666,3.635762592339216,0.5881289226313348,8.501537345977834
105,MPC + QML Hybrid,59.59453367603628,70.65788178952278,16.960973715072598,1.65186935391404,3.459254167523377,0.6053747517202489,8.2593467695702
107,Baseline thermostat,55.0629957645837,67.42120205528835,19.264615911819583,1.1789110702548218,2.763530906048404,0.8482404018683528,5.894555351274109
107,MPC + Classical GRU,59.616112968974974,71.29179125577492,18.34754879250073,1.6591294473744989,3.6129916084610683,0.6027257255800366,8.295647236872494
107,MPC + QML Hybrid,59.37340198769432,70.61941307406559,16.922504999615413,1.6169300277774596,3.450120225474793,0.6184559522186271,8.084650138887298
108,Baseline thermostat,55.2723181642087,67.35177736026368,19.195191216794917,1.2040252572782988,2.750124246691897,0.8305473609918298,6.020126286391494
108,MPC + Classical GRU,59.83197807965514,71.2917272874692,18.347484824195007,1.6951372494866734,3.6129757841648846,0.589922733573829,8.475686247433368
108,MPC + QML Hybrid,59.58434766560251,70.61927424744074,16.922366172990564,1.65073190568427,3.4500873027490986,0.6057918893773818,8.25365952842135
110,Baseline thermostat,54.84243474125449,61.5822358157964,13.56798598062177,1.152557083187538,1.822937977490274,0.8676359848784039,5.762785415937691
110,MPC + Classical GRU,59.504457881945854,65.34748155619607,12.40323909292188,1.6326472317881389,2.38783807909037,0.6125021869572896,8.163236158940695
110,MPC + QML Hybrid,59.184152375799286,64.60515903623599,10.90825096178581,1.5854233409908778,2.2651612095425886,0.6307463591238712,7.927116704954389
109,Baseline thermostat,55.055634197034145,67.3635128947052,19.330690736584074,1.1778414124266747,2.7523863120746443,0.8490107322171048,5.889207062133374
109,MPC + Classical GRU,59.720236906100396,71.29172355336343,18.347481090089232,1.668651645454947,3.6129748604344614,0.5992862576942215,8.343258227274735
109,MPC + QML Hybrid,59.39327105927047,70.61923710670385,16.92232903225367,1.6189887586303473,3.4500784948743664,0.6176695141762397,8.094943793151737
